from 20200130-500KHABSM-4p78125mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-6p750mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-5p625mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-4p064mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-3p450mgml (Second Difference),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
1,4.21,2.1868,1.66,65.27,Compound,None,,,,1,4.3199 .. 4.1667,2.96,1050.6938,,1,4.21,2.9571,27.83,1477.68,Compound,None,,,,1,4.3199 .. 4.1667,3,1554.1093,,1,4.2,2.3932,18.2,781.91,Compound,None,,,,1,4.3199 .. 4.1667,2.67,1177.4666,,1,4.21,1.9356,27.3,948.87,Compound,None,,,,1,4.3199 .. 4.1667,3,933.8514,,1,4.21,1.7332,26.22,815.89,Compound,None,,,,1,4.3199 .. 4.1667,3.04,841.1127
2,4.13,1.977,23.85,846.58,Compound,None,,,,2,4.1667 .. 4.0025,2.61,926.3425,,2,4.13,2.6826,2.19,105.34,Compound,None,,,,2,4.1667 .. 4.0025,2.68,1386.9348,,2,4.13,2.1554,26.89,1040.48,Compound,None,,,,2,4.1667 .. 4.0025,2.2,966.8096,,2,4.13,1.7344,12.69,395.04,Compound,None,,,,2,4.1667 .. 4.0025,2.64,820.9333,,2,4.12,1.5716,23.03,649.9,Compound,None,,,,2,4.1667 .. 4.0025,2.78,767.2302
3,3.51,10.265,27.24,5019.24,Compound,None,,,,3,3.5985 .. 3.4369,12.03,4266.3381,,3,3.51,13.2219,27.75,6587.11,Compound,None,,,,3,3.5985 .. 3.4369,11.14,5763.8283,,3,3.51,11.5966,27.24,5672.08,Compound,None,,,,3,3.5985 .. 3.4369,10.96,4823.6149,,3,3.51,9.0468,27.16,4411.16,Compound,None,,,,3,3.5985 .. 3.4369,11.88,3698.9991,,3,3.51,8.0324,27.08,3905,Compound,None,,,,3,3.5985 .. 3.4369,12.14,3352.6366
4,3.19,12.2973,27.94,6169.29,Compound,None,,,,4,3.2205 .. 3.1641,10.19,3612.3573,,4,3.19,15.6023,30,8403.44,Compound,None,,,,4,3.2205 .. 3.1641,9.1,4707.8377,,4,3.19,13.7687,28.37,7013.91,Compound,None,,,,4,3.2205 .. 3.1641,9.27,4079.5691,,4,3.19,10.888,27.23,5323.06,Compound,None,,,,4,3.2205 .. 3.1641,10.19,3173.1316,,4,3.19,9.6711,26.72,4639.14,Compound,None,,,,4,3.2205 .. 3.1641,10.15,2802.8544
5,3.01,5.3616,31.56,3037.93,Compound,None,,,,5,3.0701 .. 2.9498,7.18,2544.6931,,5,3.01,6.5913,33.56,3971.6,Compound,None,,,,5,3.0701 .. 2.9498,6.16,3188.4136,,5,3.01,5.8253,32.92,3442.64,Compound,None,,,,5,3.0701 .. 2.9498,6.26,2755.4658,,5,3.01,4.7768,32.77,2810.07,Compound,None,,,,5,3.0701 .. 2.9498,7.22,2247.5255,,5,3.01,4.2877,32.39,2493.11,Compound,None,,,,5,3.0701 .. 2.9498,7.25,2002.2831
6,1.69,61.3967,4.32,4764.16,Compound,None,,,,6,1.7148 .. 1.6698,13.02,4617.6953,,6,1.69,76.7857,4.65,6413.21,Compound,None,,,,6,1.7148 .. 1.6698,11.97,6191.586,,6,1.69,70.1142,4.52,5687.75,Compound,None,,,,6,1.7148 .. 1.6698,12.7,5589.8083,,6,1.69,54.5494,4.29,4205.99,Compound,None,,,,6,1.7148 .. 1.6698,13.09,4076.0575,,6,1.69,48.0782,4.18,3605.84,Compound,None,,,,6,1.7148 .. 1.6698,12.68,3503.4155
7,0.84,12.9328,1.94,451.5,Compound,None,,,,7,0.8491 .. 0.8417,1.01,359.7894,,7,0.85,16.939,2.11,642.49,Compound,None,,,,7,0.8491 .. 0.8417,0.94,486.8323,,7,0.84,14.9063,1.97,527.88,Compound,None,,,,7,0.8491 .. 0.8417,0.95,420.0422,,7,0.84,11.1006,1.97,393.54,Compound,None,,,,7,0.8491 .. 0.8417,0.99,308.1122,,7,0.84,9.5584,1.95,334.52,Compound,None,,,,7,0.8491 .. 0.8417,0.97,266.7461
conc (um),9.5625,time(s),0.5,irrad (t/f),TRUE,,,,,,,,,,conc (um),13.5,time(s),0.5,irrad (t/f),TRUE,,,,,,,,,,conc (um),11.25,time(s),0.5,irrad (t/f),TRUE,,,,,,,,,,conc (um),8.128,time(s),0.5,irrad (t/f),TRUE,,,,,,,,,,conc (um),6.9,time(s),0.5,irrad (t/f),TRUE,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
